"Model"	"error"
"1"	5	12
"2"	10	5.33333333333333
"3"	15	14.6666666666667
"4"	20	5.33333333333333
"5"	25	5.33333333333333
"6"	30	5.33333333333333
"7"	35	5.33333333333333
"8"	40	5.33333333333333
"9"	45	5.33333333333333
"10"	50	5.33333333333333
"11"	55	5.33333333333333
"12"	60	5.33333333333333
"13"	65	5.33333333333333
"14"	70	5.33333333333333
"15"	75	5.33333333333333
